"field","term","coef_printed","sig_printed","se_printed","coef_online","sig_online","se_online","coef_twitter","sig_twitter","se_twitter"
"Social science","Coauthors' total citations (t-1)",0,"","[0]",0.00004,"*","[0.00002]",0.0001,"","[0.00011]"
"Social science","Foauthors' total Twitter/X attention (t-1)",0.00055,"","[0.00038]",-0.00259,"","[0.00175]",0.00541,"","[0.00444]"
"Social science","Total printed news attention (t-1)",NA,NA,"[NA]",0.00287,"*","[0.00108]",0.00739,"","[0.00528]"
"Social science","Total online attention (t-1)",0.00125,"","[0.00224]",NA,NA,"[NA]",0.11314,".","[0.06248]"
"Social science","Total Twitter/X attention (t-1)",-0.00038,"","[0.00029]",0.00541,"***","[0.00155]",NA,NA,"[NA]"
"Social science","(Intercept)",1.41162,"*","[0.44025]",-0.15519,"","[0.1757]",2.30502,"*","[0.99803]"
"Social science","R^2",0.395,"","[0.395]",0.522,"","[0.522]",0.283,"","[0.283]"
"Arts & Humanities","Printed news attention (t-1)",0.70022,"***","[0.05063]",NA,NA,"[NA]",NA,NA,"[NA]"
"Arts & Humanities","Online attention (t-1)",NA,NA,"[NA]",0.26979,".","[0.1457]",NA,NA,"[NA]"
"Arts & Humanities","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.42222,"*","[0.1566]"
"Arts & Humanities","Inferred agender (reference: man)",-0.68974,"*","[0.23853]",-0.24744,"","[0.32558]",-0.25062,"","[0.75126]"
"Arts & Humanities","Total citations (t-1)",-0.00021,"","[0.00026]",0.00077,"","[0.00051]",0.00015,"","[0.00085]"
"Arts & Humanities","Coauthors' total online attention total (t-1)",-0.00392,"","[0.00364]",0.00435,"","[0.00627]",-0.00396,"","[0.02075]"
"Arts & Humanities","Coauthors' total citations (t-1)",0.00003,"***","[0]",0,"","[0.00001]",0.00001,"","[0.00002]"
"Arts & Humanities","Foauthors' total Twitter/X attention (t-1)",0.00118,"","[0.00098]",-0.00071,"","[0.0016]",-0.00176,"","[0.00471]"
"Arts & Humanities","Total printed news attention (t-1)",NA,NA,"[NA]",-0.00039,"","[0.00153]",-0.00502,".","[0.00283]"
"Arts & Humanities","Total online attention (t-1)",-0.00923,"","[0.00922]",NA,NA,"[NA]",0.02586,"","[0.04935]"
"Arts & Humanities","Total Twitter/X attention (t-1)",-0.00325,"","[0.00237]",0.01601,"","[0.01179]",NA,NA,"[NA]"
"Arts & Humanities","(Intercept)",1.44879,"*","[0.54465]",0.17709,"","[0.21438]",0.26585,"","[0.35976]"
"Arts & Humanities","R^2",0.495,"","[0.495]",0.077,".","[0.077]",0.175,"","[0.175]"
