"field","term","coef_printed","sig_printed","se_printed","coef_online","sig_online","se_online","coef_twitter","sig_twitter","se_twitter"
"Social science","(Intercept)",1.25331,"*","[0.40292]",0.68872,".","[0.39176]",6.95433,"*","[3.35423]"
"Social science","R^2",0.395,"","[0.395]",0.523,"","[0.523]",0.284,"","[0.284]"
"Arts & Humanities","Inferred gender (reference: man)",-0.63205,"*","[0.23216]",-0.30576,"","[0.32563]",-0.40561,"","[0.77949]"
"Arts & Humanities","Total citations (t-1)",-3e-04,"","[0.00029]",0.00088,"","[0.00055]",0.00042,"","[0.00089]"
"Arts & Humanities","Coauthors' total online attention total (t-1)",-0.00344,"","[0.00352]",0.00378,"","[0.00626]",-0.00526,"","[0.02056]"
"Arts & Humanities","Coauthors' total citations (t-1)",3e-05,"***","[0]",0,"","[1e-05]",1e-05,"","[2e-05]"
"Arts & Humanities","Coauthors' total Twitter/X attention (t-1)",0.00111,"","[0.00096]",-0.00067,"","[0.0016]",-0.00162,"","[0.00469]"
"Arts & Humanities","Printed news attention (t-1)",0.69767,"***","[0.05117]",NA,NA,"[NA]",NA,NA,"[NA]"
"Arts & Humanities","Online attention (t-1)",NA,NA,"[NA]",0.26681,".","[0.14226]",NA,NA,"[NA]"
"Arts & Humanities","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.42201,"*","[0.15519]"
"Arts & Humanities","Total printed news attention (t-1)",NA,NA,"[NA]",1e-04,"","[0.00153]",-0.00391,"","[0.00278]"
"Arts & Humanities","Received an NWO/ERC grant (t-1)",-0.967,"","[1.01534]",-0.26644,"","[0.21711]",4.79924,"","[3.12554]"
"Arts & Humanities","Total online attention (t-1)",-0.00784,"","[0.00941]",NA,NA,"[NA]",0.02175,"","[0.05028]"
"Arts & Humanities","Total Twitter/X attention (t-1)",-0.00312,"","[0.00223]",0.01588,"","[0.01202]",NA,NA,"[NA]"
"Arts & Humanities","(Intercept)",0.91967,"","[0.6205]",0.85175,"","[0.64954]",1.74331,"","[1.47273]"
"Arts & Humanities","R^2",0.495,"","[0.495]",0.079,".","[0.079]",0.177,"","[0.177]"
