"field","term","coef_printed","sig_printed","se_printed","coef_online","sig_online","se_online","coef_twitter","sig_twitter","se_twitter"
"Social science","Coauthors' total Twitter/X attention (t-1)",-0.00703,"","[0.00476]",0.01142,"*","[0.00461]",0.00543,"","[0.00578]"
"Social science","Total printed news attention (t-1)",NA,NA,"[NA]",0.02887,"***","[0.00396]",0.00339,"","[0.00437]"
"Social science","Total online attention (t-1)",0.03599,"***","[0.00657]",NA,NA,"[NA]",0.04241,"***","[0.00785]"
"Social science","Total Twitter/X attention (t-1)",0.0053,"","[0.00359]",0.03821,"***","[0.00461]",NA,NA,"[NA]"
"Social science","(Intercept)",0.33731,"***","[0.03418]",-0.42681,"***","[0.02546]",-0.01615,"","[0.02959]"
"Social science","R^2",0.527,"","[0.527]",0.584,"","[0.584]",0.706,"","[0.706]"
"Arts & Humanities","Printed news attention (t-1)",0.65376,"***","[0.03412]",NA,NA,"[NA]",NA,NA,"[NA]"
"Arts & Humanities","Online attention (t-1)",NA,NA,"[NA]",0.43493,"***","[0.09772]",NA,NA,"[NA]"
"Arts & Humanities","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.71939,"***","[0.04191]"
"Arts & Humanities","Inferred agender (reference: man)",-0.05546,"","[0.0427]",-0.00755,"","[0.03204]",0.02222,"","[0.04137]"
"Arts & Humanities","Total citations (t-1)",-0.01517,"","[0.01749]",0.03871,"***","[0.0084]",0.01463,"","[0.01249]"
"Arts & Humanities","Coauthors' total online attention total (t-1)",0.00036,"","[0.02974]",0.06392,".","[0.03517]",-0.01124,"","[0.041]"
"Arts & Humanities","Coauthors' total citations (t-1)",0.01307,"","[0.01208]",0.00207,"","[0.00611]",0.01402,".","[0.00812]"
"Arts & Humanities","Coauthors' total Twitter/X attention (t-1)",0.01385,"","[0.01857]",-0.00461,"","[0.01293]",0.00571,"","[0.02293]"
"Arts & Humanities","Total printed news attention (t-1)",NA,NA,"[NA]",0.00429,"","[0.0096]",-0.01403,"","[0.01514]"
"Arts & Humanities","Total online attention (t-1)",0.00963,"","[0.02569]",NA,NA,"[NA]",0.03052,"","[0.03374]"
"Arts & Humanities","Total Twitter/X attention (t-1)",-0.00187,"","[0.01735]",0.02443,"","[0.01703]",NA,NA,"[NA]"
"Arts & Humanities","(Intercept)",0.35218,"***","[0.09687]",-0.10226,"*","[0.05114]",-0.09014,"","[0.06407]"
"Arts & Humanities","R^2",0.441,"","[0.441]",0.248,"","[0.248]",0.494,"","[0.494]"
